mean,title
3.49,Pretty Woman (1990)
3.65,Babe (1995)
3.5,GoldenEye (1995)
3.87,Willy Wonka & the Chocolate Factory (1971)
4.15,"Green Mile, The (1999)"
3.77,E.T. the Extra-Terrestrial (1982)
3.84,Ocean's Eleven (2001)
4.25,"Departed, The (2006)"
3.78,Ghostbusters (a.k.a. Ghost Busters) (1984)
4.22,Apocalypse Now (1979)
3.92,Catch Me If You Can (2002)
3.86,Batman Begins (2005)
4.08,"Shining, The (1980)"
3.64,"Rock, The (1996)"
3.64,Minority Report (2002)
3.11,Star Wars: Episode I - The Phantom Menace (1999)
3.75,"Fifth Element, The (1997)"
3.98,Donnie Darko (2001)
3.54,Spider-Man (2002)
3.82,"Bourne Identity, The (2002)"
3.78,"Breakfast Club, The (1985)"
4.11,Taxi Driver (1976)
3.87,Kill Bill: Vol. 2 (2004)
3.89,2001: A Space Odyssey (1968)
4.24,Casablanca (1942)
3.84,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"
4.06,WALL·E (2008)
4.0,Up (2009)
3.84,Ferris Bueller's Day Off (1986)
4.1,Full Metal Jacket (1987)
3.92,"Big Lebowski, The (1998)"
4.27,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
4.04,Trainspotting (1996)
3.32,Twister (1996)
3.06,Dumb & Dumber (Dumb and Dumber) (1994)
3.76,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)
3.95,Heat (1995)
3.86,Clerks (1994)
2.92,Batman Forever (1995)
3.6,Clear and Present Danger (1994)
3.43,Ghost (1990)
4.06,L.A. Confidential (1997)
3.64,Indiana Jones and the Temple of Doom (1984)
3.95,Being John Malkovich (1999)
3.88,V for Vendetta (2006)
3.2,Austin Powers: The Spy Who Shagged Me (1999)
4.16,Snatch (2000)
3.68,There's Something About Mary (1998)
4.09,Office Space (1999)
3.43,Jumanji (1995)
3.46,Interview with the Vampire: The Vampire Chronicles (1994)
3.92,Requiem for a Dream (2000)
3.64,Crimson Tide (1995)
3.86,Toy Story 2 (1999)
3.7,Cast Away (2000)
3.47,Sleepless in Seattle (1993)
3.6,Harry Potter and the Chamber of Secrets (2002)
3.39,Star Trek: Generations (1994)
3.81,Rain Man (1988)
4.15,Life Is Beautiful (La Vita è bella) (1997)
4.01,Jaws (1975)
4.01,Stand by Me (1986)
3.91,Harry Potter and the Prisoner of Azkaban (2004)
4.14,Inglourious Basterds (2009)
3.52,Four Weddings and a Funeral (1994)
4.16,Spirited Away (Sen to Chihiro no kamikakushi) (2001)
4.01,"Prestige, The (2006)"
3.82,Iron Man (2008)
4.26,Rear Window (1954)
3.81,"O Brother, Where Art Thou? (2000)"
3.53,"Firm, The (1993)"
3.88,"Wizard of Oz, The (1939)"
3.7,As Good as It Gets (1997)
3.54,Austin Powers: International Man of Mystery (1997)
3.88,Star Trek: First Contact (1996)
3.93,Monty Python's Life of Brian (1979)
3.6,Avatar (2009)
3.87,"Hunt for Red October, The (1990)"
3.38,American Pie (1999)
3.0,Home Alone (1990)
3.78,Shakespeare in Love (1998)
3.57,Who Framed Roger Rabbit? (1988)
3.43,Outbreak (1995)
3.29,Clueless (1995)
3.44,Happy Gilmore (1996)
3.96,Dead Poets Society (1989)
3.04,"Net, The (1995)"
3.47,While You Were Sleeping (1995)
3.95,Gattaca (1997)
3.72,Big (1988)
3.86,Airplane! (1980)
2.91,Waterworld (1995)
4.04,Psycho (1960)
3.55,"Nightmare Before Christmas, The (1993)"
3.58,Shrek 2 (2004)
3.86,When Harry Met Sally... (1989)
3.86,Sin City (2005)
3.52,"Bug's Life, A (1998)"
3.93,Casino (1995)
3.35,"Matrix Reloaded, The (2003)"
3.65,Total Recall (1990)
3.87,Almost Famous (2000)
4.06,"Graduate, The (1967)"
3.81,"Blues Brothers, The (1980)"
3.94,Casino Royale (2006)
4.18,Amadeus (1984)
3.47,Beetlejuice (1988)
3.69,Ice Age (2002)
4.15,City of God (Cidade de Deus) (2002)
3.49,Get Shorty (1995)
3.42,Meet the Parents (2000)
3.81,"Pan's Labyrinth (Laberinto del fauno, El) (2006)"
4.01,Shaun of the Dead (2004)
3.03,Cliffhanger (1993)
3.59,Jerry Maguire (1996)
3.51,Back to the Future Part II (1989)
3.99,"Dark Knight Rises, The (2012)"
3.49,"Birdcage, The (1996)"
3.8,Spider-Man 2 (2004)
4.0,Run Lola Run (Lola rennt) (1998)
3.65,Contact (1997)
3.7,"Bourne Ultimatum, The (2007)"
3.88,Little Miss Sunshine (2006)
4.03,Lost in Translation (2003)
4.15,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)"
3.23,Natural Born Killers (1994)
3.37,Back to the Future Part III (1990)
3.71,Mr. Holland's Opus (1995)
3.7,Edward Scissorhands (1990)
3.68,300 (2007)
3.86,"South Park: Bigger, Longer and Uncut (1999)"
3.99,Interstellar (2014)
3.16,Star Wars: Episode II - Attack of the Clones (2002)
3.77,What's Eating Gilbert Grape (1993)
3.65,Dogma (1999)
3.7,"Game, The (1997)"
3.52,Quiz Show (1994)
3.79,"Bourne Supremacy, The (2004)"
3.72,X2: X-Men United (2003)
3.05,Armageddon (1998)
3.94,Django Unchained (2012)
4.04,Citizen Kane (1941)
3.62,Snow White and the Seven Dwarfs (1937)
3.87,Ratatouille (2007)
3.92,"Fish Called Wanda, A (1988)"
3.55,Chicken Run (2000)
3.63,"Hangover, The (2009)"
3.89,Mary Poppins (1964)
3.62,Leaving Las Vegas (1995)
3.99,Young Frankenstein (1974)
3.67,Lethal Weapon (1987)
3.67,High Fidelity (2000)
3.3,Top Gun (1986)
3.9,Traffic (2000)
4.05,"Lock, Stock & Two Smoking Barrels (1998)"
3.12,"Mummy, The (1999)"
3.82,Harry Potter and the Goblet of Fire (2005)
3.81,Slumdog Millionaire (2008)
4.02,Shutter Island (2010)
3.55,Dave (1993)
3.58,Galaxy Quest (1999)
3.43,Star Wars: Episode III - Revenge of the Sith (2005)
3.87,"Avengers, The (2012)"
3.33,Starship Troopers (1997)
3.09,Mars Attacks! (1996)
4.02,This Is Spinal Tap (1984)
3.83,Big Fish (2003)
3.93,Scarface (1983)
3.55,"40-Year-Old Virgin, The (2005)"
3.1,Addams Family Values (1993)
3.37,Face/Off (1997)
3.2,"Santa Clause, The (1994)"
3.5,Maverick (1994)
3.69,In the Line of Fire (1993)
3.68,Ed Wood (1994)
3.84,Dead Man Walking (1995)
3.67,"American President, The (1995)"
3.94,"Untouchables, The (1987)"
3.98,"Sting, The (1973)"
3.48,Unbreakable (2000)
3.02,Broken Arrow (1996)
3.78,Sense and Sensibility (1995)
3.95,Children of Men (2006)
3.51,Pirates of the Caribbean: Dead Man's Chest (2006)
3.94,"Sound of Music, The (1965)"
3.98,Platoon (1986)
3.68,"Royal Tenenbaums, The (2001)"
3.09,Demolition Man (1993)
3.9,No Country for Old Men (2007)
3.15,"Matrix Revolutions, The (2003)"
4.21,Chinatown (1974)
3.82,Tombstone (1993)
3.8,True Romance (1993)
3.53,Erin Brockovich (2000)
4.18,Brazil (1985)
3.78,District 9 (2009)
3.83,Rocky (1976)
3.77,Juno (2007)
3.94,Butch Cassidy and the Sundance Kid (1969)
4.0,Hot Fuzz (2007)
3.94,Blazing Saddles (1974)
4.27,Cool Hand Luke (1967)
3.9,"Last Samurai, The (2003)"
4.03,Vertigo (1958)
2.73,Ace Ventura: When Nature Calls (1995)
4.05,Guardians of the Galaxy (2014)
4.12,To Kill a Mockingbird (1962)
4.18,North by Northwest (1959)
3.61,Philadelphia (1993)
4.15,12 Angry Men (1957)
3.37,RoboCop (1987)
3.62,Bridget Jones's Diary (2001)
3.32,Bruce Almighty (2003)
3.56,Desperado (1995)
3.45,"Patriot, The (2000)"
4.04,"King's Speech, The (2010)"
3.49,Enemy of the State (1998)
4.03,It's a Wonderful Life (1946)
3.77,Star Trek II: The Wrath of Khan (1982)
3.4,Die Hard 2 (1990)
3.99,Raising Arizona (1987)
3.61,"Crow, The (1994)"
3.4,Legends of the Fall (1994)
3.97,28 Days Later (2002)
3.43,"Little Mermaid, The (1989)"
3.69,Animal House (1978)
3.86,Star Trek (2009)
4.11,Toy Story 3 (2010)
4.04,Wallace & Gromit: The Wrong Trousers (1993)
3.89,Harry Potter and the Half-Blood Prince (2009)
3.03,Liar Liar (1997)
3.87,Annie Hall (1977)
3.74,Close Encounters of the Third Kind (1977)
3.4,School of Rock (2003)
2.73,"Nutty Professor, The (1996)"
3.2,Scream (1996)
3.86,Harry Potter and the Order of the Phoenix (2007)
3.85,Sherlock Holmes (2009)
3.79,Love Actually (2003)
3.79,American Psycho (2000)
3.89,"Social Network, The (2010)"
3.61,Superman (1978)
3.78,Bowling for Columbine (2002)
3.97,"Christmas Story, A (1983)"
3.58,Predator (1987)
3.35,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)
3.13,Robin Hood: Men in Tights (1993)
3.54,"Piano, The (1993)"
3.48,I Am Legend (2007)
3.79,"Few Good Men, A (1992)"
3.48,Sleepy Hollow (1999)
3.48,"Abyss, The (1989)"
3.77,Anchorman: The Legend of Ron Burgundy (2004)
3.15,Pocahontas (1995)
3.62,"Italian Job, The (2003)"
3.14,Grease (1978)
3.44,"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)"
3.49,"I, Robot (2004)"
3.61,Grosse Pointe Blank (1997)
3.8,Planet of the Apes (1968)
3.86,Superbad (2007)
3.48,Pleasantville (1998)
3.48,Wayne's World (1992)
3.92,"Wolf of Wall Street, The (2013)"
3.76,"Full Monty, The (1997)"
3.34,"Rocky Horror Picture Show, The (1975)"
2.71,Mission: Impossible II (2000)
3.94,How to Train Your Dragon (2010)
3.83,Deadpool (2016)
3.45,Pinocchio (1940)
4.04,Army of Darkness (1993)
3.48,Spaceballs (1987)
3.88,Zombieland (2009)
3.66,Election (1999)
3.84,Goldfinger (1964)
3.57,"Goonies, The (1985)"
3.51,Wedding Crashers (2005)
3.83,"Jungle Book, The (1967)"
3.16,Legally Blonde (2001)
3.8,"Exorcist, The (1973)"
4.19,Seven Samurai (Shichinin no samurai) (1954)
3.09,Dragonheart (1996)
4.02,The Imitation Game (2014)
3.78,Fantasia (1940)
4.01,Some Like It Hot (1959)
3.85,Million Dollar Baby (2004)
3.76,Blood Diamond (2006)
3.63,"Others, The (2001)"
3.17,Signs (2002)
3.26,"Three Musketeers, The (1993)"
3.11,Eraser (1996)
3.83,Caddyshack (1980)
3.54,Rushmore (1998)
3.59,Moulin Rouge (2001)
3.94,Serenity (2005)
3.52,Field of Dreams (1989)
3.22,Gone in 60 Seconds (2000)
3.39,"Truth About Cats & Dogs, The (1996)"
3.78,"Grand Budapest Hotel, The (2014)"
2.72,Charlie's Angels (2000)
3.27,My Big Fat Greek Wedding (2002)
3.84,Mulholland Drive (2001)
3.05,Miss Congeniality (2000)
3.69,Best in Show (2000)
3.91,Harry Potter and the Deathly Hallows: Part 2 (2011)
3.36,Blade (1998)
3.81,Blow (2001)
3.89,Crash (2004)
3.74,Donnie Brasco (1997)
3.34,Air Force One (1997)
3.52,Gangs of New York (2002)
3.28,Mr. & Mrs. Smith (2005)
4.3,Lawrence of Arabia (1962)
3.79,Training Day (2001)
3.46,Notting Hill (1999)
3.51,From Dusk Till Dawn (1996)
3.71,Magnolia (1999)
3.71,Mystic River (2003)
3.39,"Client, The (1994)"
3.26,My Cousin Vinny (1992)
3.44,Pirates of the Caribbean: At World's End (2007)
4.0,The Martian (2015)
3.42,"Wedding Singer, The (1998)"
4.07,Singin' in the Rain (1952)
3.53,10 Things I Hate About You (1999)
3.81,Skyfall (2012)
3.81,Black Hawk Down (2001)
3.96,Princess Mononoke (Mononoke-hime) (1997)
3.65,Knocked Up (2007)
3.51,Zoolander (2001)
4.11,"Pianist, The (2002)"
3.78,Tommy Boy (1995)
3.99,Harry Potter and the Deathly Hallows: Part 1 (2010)
2.76,"Honey, I Shrunk the Kids (1989)"
3.4,Lady and the Tramp (1955)
3.9,Wallace & Gromit: A Close Shave (1995)
3.34,A.I. Artificial Intelligence (2001)
3.45,Romancing the Stone (1984)
3.1,"Mask of Zorro, The (1998)"
3.44,Kung Fu Panda (2008)
3.58,Chasing Amy (1997)
3.44,The Hunger Games (2012)
4.12,"Bridge on the River Kwai, The (1957)"
2.85,Austin Powers in Goldmember (2002)
4.11,Unforgiven (1992)
2.75,"Lost World: Jurassic Park, The (1997)"
3.54,Disclosure (1994)
4.17,"Maltese Falcon, The (1941)"
3.46,Eyes Wide Shut (1999)
3.82,Dark City (1998)
3.0,Charlie and the Chocolate Factory (2005)
3.97,Fear and Loathing in Las Vegas (1998)
3.72,Chicago (2002)
3.79,Hotel Rwanda (2004)
4.22,"Boondock Saints, The (2000)"
3.95,Gran Torino (2008)
3.02,Batman Returns (1992)
3.95,Blue Velvet (1986)
3.95,Adaptation (2002)
3.93,M*A*S*H (a.k.a. MASH) (1970)
3.85,Pi (1998)
3.18,Crocodile Dundee (1986)
2.96,Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002)
3.84,Sling Blade (1996)
3.82,Mad Max: Fury Road (2015)
3.03,Con Air (1997)
3.73,Highlander (1986)
2.8,"Blair Witch Project, The (1999)"
3.36,Hook (1991)
3.71,Garden State (2004)
3.7,Jackie Brown (1997)
4.13,"Great Escape, The (1963)"
3.06,Naked Gun 33 1/3: The Final Insult (1994)
3.93,"Thing, The (1982)"
3.6,Sixteen Candles (1984)
3.51,Super Size Me (2004)
3.65,"Thomas Crown Affair, The (1999)"
3.98,Edge of Tomorrow (2014)
3.79,"Pursuit of Happyness, The (2006)"
3.36,X-Men: The Last Stand (2006)
2.81,Casper (1995)
3.41,The Devil's Advocate (1997)
3.52,Road to Perdition (2002)
3.19,Sabrina (1995)
2.87,Hot Shots! Part Deux (1993)
3.99,Watchmen (2009)
4.17,Glory (1989)
3.88,Equilibrium (2002)
4.16,In Bruges (2008)
3.14,What Women Want (2000)
3.26,Grumpier Old Men (1995)
3.45,James and the Giant Peach (1996)
3.84,Misery (1990)
4.21,"Boot, Das (Boat, The) (1981)"
4.19,Raging Bull (1980)
3.71,Three Kings (1999)
3.55,50 First Dates (2004)
3.71,"English Patient, The (1996)"
3.63,The Butterfly Effect (2004)
3.34,Tron (1982)
3.08,First Knight (1995)
3.7,Bill & Ted's Excellent Adventure (1989)
3.62,"Simpsons Movie, The (2007)"
3.85,American Graffiti (1973)
3.52,Chocolat (2000)
2.67,Judge Dredd (1995)
3.25,Bad Boys (1995)
3.76,Collateral (2004)
3.93,Dazed and Confused (1993)
3.51,Iron Man 2 (2010)
3.43,Troy (2004)
3.83,"Deer Hunter, The (1978)"
3.64,Gone with the Wind (1939)
2.88,Congo (1995)
3.81,Inside Out (2015)
3.81,Much Ado About Nothing (1993)
3.72,About a Boy (2002)
3.8,"Good Morning, Vietnam (1987)"
3.34,"Talented Mr. Ripley, The (1999)"
3.7,Scott Pilgrim vs. the World (2010)
3.54,Rumble in the Bronx (Hont faan kui) (1995)
3.88,Little Women (1994)
4.08,Howl's Moving Castle (Hauru no ugoku shiro) (2004)
3.33,Billy Madison (1995)
3.79,X-Men: First Class (2011)
3.69,Stranger than Fiction (2006)
3.78,"Illusionist, The (2006)"
4.04,"Road Warrior, The (Mad Max 2) (1981)"
3.43,Poltergeist (1982)
3.57,Mulan (1998)
3.82,Labyrinth (1986)
2.72,Beverly Hills Cop III (1994)
3.48,Sneakers (1992)
3.9,Into the Wild (2007)
4.09,Old Boy (2003)
3.12,Splash (1984)
4.08,Boogie Nights (1997)
3.6,"Birds, The (1963)"
4.05,"Iron Giant, The (1999)"
3.85,Big Hero 6 (2014)
3.95,Monty Python's The Meaning of Life (1983)
3.85,Star Wars: Episode VII - The Force Awakens (2015)
3.15,War of the Worlds (2005)
3.74,Carlito's Way (1993)
3.65,Kick-Ass (2010)
3.33,"Hunchback of Notre Dame, The (1996)"
3.48,French Kiss (1995)
3.4,Beverly Hills Cop (1984)
3.32,"Terminal, The (2004)"
3.55,Rob Roy (1995)
3.47,"League of Their Own, A (1992)"
3.12,You've Got Mail (1998)
2.93,Last Action Hero (1993)
3.53,Corpse Bride (2005)
3.88,Searching for Bobby Fischer (1993)
3.96,Go (1999)
3.67,(500) Days of Summer (2009)
3.58,"NeverEnding Story, The (1984)"
3.42,Payback (1999)
3.94,"Fistful of Dollars, A (Per un pugno di dollari) (1964)"
3.2,Big Daddy (1999)
3.74,Remember the Titans (2000)
4.04,Whiplash (2014)
3.41,"Aristocats, The (1970)"
3.34,Phenomenon (1996)
3.73,Heathers (1989)
3.73,Time Bandits (1981)
3.12,"Da Vinci Code, The (2006)"
3.92,Say Anything... (1989)
3.63,Black Swan (2010)
4.01,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
3.81,"Hobbit: An Unexpected Journey, The (2012)"
2.42,Coneheads (1993)
3.05,"Day After Tomorrow, The (2004)"
3.62,Taken (2008)
4.11,Intouchables (2011)
3.8,Inside Man (2006)
3.52,Ronin (1998)
2.81,"Cable Guy, The (1996)"
3.99,The Machinist (2004)
3.87,"French Connection, The (1971)"
3.36,"Godfather: Part III, The (1990)"
3.43,101 Dalmatians (One Hundred and One Dalmatians) (1961)
3.07,Father of the Bride Part II (1995)
3.2,"Ring, The (2002)"
3.42,Vanilla Sky (2001)
3.42,"Hitchhiker's Guide to the Galaxy, The (2005)"
3.95,"Player, The (1992)"
3.19,Basic Instinct (1992)
3.83,"Last of the Mohicans, The (1992)"
3.48,Star Trek IV: The Voyage Home (1986)
3.93,Dog Day Afternoon (1975)
3.18,Lethal Weapon 2 (1989)
3.92,Hero (Ying xiong) (2002)
4.03,"Postman, The (Postino, Il) (1994)"
2.81,Arachnophobia (1990)
3.45,I.Q. (1994)
3.52,"Whole Nine Yards, The (2000)"
3.15,Alien³ (a.k.a. Alien 3) (1992)
3.02,Superman II (1980)
3.77,Forgetting Sarah Marshall (2008)
3.57,Peter Pan (1953)
3.96,My Neighbor Totoro (Tonari no Totoro) (1988)
3.49,Cinderella (1950)
3.49,"Girl with the Dragon Tattoo, The (2011)"
3.76,Walk the Line (2005)
3.86,Lucky Number Slevin (2006)
3.76,Mean Girls (2004)
3.24,Antz (1998)
3.48,Fast Times at Ridgemont High (1982)
3.74,Sideways (2004)
3.74,Akira (1988)
3.65,Witness (1985)
2.92,Scary Movie (2000)
2.65,City Slickers II: The Legend of Curly's Gold (1994)
3.73,Trading Places (1983)
3.38,"Fly, The (1986)"
3.1,Analyze This (1999)
4.03,Thank You for Smoking (2006)
3.44,"X-Files: Fight the Future, The (1998)"
3.44,"Crying Game, The (1992)"
3.44,Risky Business (1983)
3.07,101 Dalmatians (1996)
3.61,Don Juan DeMarco (1995)
3.91,American Gangster (2007)
3.69,Elf (2003)
2.71,Space Jam (1996)
3.99,Kingsman: The Secret Service (2015)
3.4,"Naked Gun: From the Files of Police Squad!, The (1988)"
3.76,Sherlock Holmes: A Game of Shadows (2011)
4.07,Kiss Kiss Bang Bang (2005)
4.07,Bonnie and Clyde (1967)
4.07,"Femme Nikita, La (Nikita) (1990)"
3.85,Billy Elliot (2000)
3.17,Hitch (2005)
3.09,"Me, Myself & Irene (2000)"
2.68,Johnny Mnemonic (1995)
3.46,Thelma & Louise (1991)
3.55,"Hudsucker Proxy, The (1994)"
3.37,Kingpin (1996)
3.37,Dirty Dancing (1987)
4.16,Cinema Paradiso (Nuovo cinema Paradiso) (1989)
3.29,Ocean's Twelve (2004)
4.04,My Fair Lady (1964)
3.71,Zodiac (2007)
3.0,Ghostbusters II (1989)
3.35,Star Trek VI: The Undiscovered Country (1991)
3.51,Enemy at the Gates (2001)
3.27,Cocoon (1985)
3.5,My Best Friend's Wedding (1997)
3.68,Despicable Me (2010)
4.12,"Lives of Others, The (Das leben der Anderen) (2006)"
3.17,"Perfect Storm, The (2000)"
3.86,Rounders (1998)
3.56,Pitch Black (2000)
3.09,"Mummy Returns, The (2001)"
3.85,Breakfast at Tiffany's (1961)
3.38,Executive Decision (1996)
3.38,Gremlins (1984)
3.38,Cars (2006)
3.55,Dodgeball: A True Underdog Story (2004)
3.55,Boys Don't Cry (1999)
3.38,Hellboy (2004)
3.07,Tomorrow Never Dies (1997)
3.07,"Fast and the Furious, The (2001)"
3.07,American Pie 2 (2001)
4.06,"Hurt Locker, The (2008)"
3.72,Gone Girl (2014)
3.72,"Emperor's New Groove, The (2000)"
3.27,That Thing You Do! (1996)
4.04,Evil Dead II (Dead by Dawn) (1987)
3.04,Star Trek: The Motion Picture (1979)
3.04,Terminator 3: Rise of the Machines (2003)
3.51,Old School (2003)
3.81,"Fisher King, The (1991)"
3.26,Star Trek III: The Search for Spock (1984)
4.15,For a Few Dollars More (Per qualche dollaro in più) (1965)
3.34,"Knight's Tale, A (2001)"
3.26,Rush Hour (1998)
3.04,"Cell, The (2000)"
3.17,Tin Cup (1996)
4.12,Patton (1970)
3.49,Man on the Moon (1999)
3.49,Burn After Reading (2008)
3.4,King Kong (2005)
3.32,So I Married an Axe Murderer (1993)
4.11,Manhattan (1979)
2.82,Nine Months (1995)
3.15,Shanghai Noon (2000)
3.57,"Notebook, The (2004)"
3.57,"Karate Kid, The (1984)"
3.29,8 Mile (2002)
3.97,"African Queen, The (1951)"
3.38,Madagascar (2005)
3.38,Alice in Wonderland (1951)
2.93,Lethal Weapon 3 (1992)
3.75,From Russia with Love (1963)
3.45,Escape from New York (1981)
2.74,Planet of the Apes (2001)
3.72,William Shakespeare's Romeo + Juliet (1996)
3.94,Ben-Hur (1959)
3.34,Nell (1994)
3.34,Willow (1988)
4.17,Rosemary's Baby (1968)
3.69,Swingers (1996)
3.59,"Curious Case of Benjamin Button, The (2008)"
3.49,Mad Max (1979)
3.07,Deep Impact (1998)
3.0,Spider-Man 3 (2007)
3.3,Bend It Like Beckham (2002)
2.92,Alien: Resurrection (1997)
3.97,"Producers, The (1968)"
3.64,Master and Commander: The Far Side of the World (2003)
3.35,Transformers (2007)
3.25,"River Wild, The (1994)"
3.71,Lord of War (2005)
3.33,"World Is Not Enough, The (1999)"
3.94,Like Water for Chocolate (Como agua para chocolate) (1992)
3.33,Little Shop of Horrors (1986)
3.7,Coraline (2009)
3.6,"Adventures of Priscilla, Queen of the Desert, The (1994)"
3.79,Stripes (1981)
3.49,Fahrenheit 9/11 (2004)
3.49,"Life Aquatic with Steve Zissou, The (2004)"
3.22,Cruel Intentions (1999)
3.67,Bull Durham (1988)
2.99,Entrapment (1999)
2.92,Escape from L.A. (1996)
3.37,Bambi (1942)
3.66,"Time to Kill, A (1996)"
2.97,Pearl Harbor (2001)
3.64,Primal Fear (1996)
4.25,"Manchurian Candidate, The (1962)"
3.97,"Dirty Dozen, The (1967)"
3.63,Man on Fire (2004)
3.26,"Rocketeer, The (1991)"
3.97,Moon (2009)
3.74,"Wrestler, The (2008)"
3.43,Dune (1984)
3.51,Robin Hood (1973)
3.09,Road Trip (2000)
2.94,Conspiracy Theory (1997)
3.72,Matchstick Men (2003)
3.41,"Doors, The (1991)"
3.49,Mystery Science Theater 3000: The Movie (1996)
4.31,"Philadelphia Story, The (1940)"
3.29,"Addams Family, The (1991)"
4.29,Hoop Dreams (1994)
3.89,Zootopia (2016)
3.26,National Treasure (2004)
3.53,"Aviator, The (2004)"
3.98,"Crazy, Stupid, Love. (2011)"
3.34,Ransom (1996)
3.86,Out of Sight (1998)
3.62,Yes Man (2008)
3.42,Frequency (2000)
3.32,Napoleon Dynamite (2004)
3.6,West Side Story (1961)
3.4,Mallrats (1995)
3.83,The Count of Monte Cristo (2002)
3.22,Miracle on 34th Street (1994)
3.6,Source Code (2011)
3.6,Stardust (2007)
3.71,Dr. No (1962)
3.47,Constantine (2005)
3.9,The Revenant (2015)
3.46,Quantum of Solace (2008)
3.18,Dangerous Minds (1995)
3.56,Brokeback Mountain (2005)
3.56,"Devil Wears Prada, The (2006)"
3.35,Carrie (1976)
3.09,Mystery Men (1999)
3.77,Drive (2011)
3.54,"Dark Crystal, The (1982)"
3.87,The Lego Movie (2014)
2.67,Species (1995)
3.53,"Jungle Book, The (1994)"
3.62,Punch-Drunk Love (2002)
3.51,Thor (2011)
2.83,Runaway Bride (1999)
3.5,Ghost World (2001)
3.72,Up in the Air (2009)
3.84,Roger & Me (1989)
3.95,Limitless (2011)
3.39,Dumbo (1941)
3.59,"Muppet Movie, The (1979)"
3.49,Rudy (1993)
3.93,Battle Royale (Batoru rowaiaru) (2000)
3.92,Emma (1996)
3.46,Harold and Kumar Go to White Castle (2004)
3.08,"Specialist, The (1994)"
2.21,Wild Wild West (1999)
3.55,Heavy Metal (1981)
2.54,Mortal Kombat (1995)
3.9,Deliverance (1972)
